Games_Updated_ID,Console,Game_Name,Review,Score
Games_Updated_ID_1,PC,Baldur's Gate 3 Early Access,Early Access,6
Games_Updated_ID_2,PC,Control: Ultimate Edition Cloud Version,Good,7
Games_Updated_ID_3,PC,Doom Eternal: The Ancient Gods Part 1,Good,7
Games_Updated_ID_4,PC,Watch Dogs: Legion,Great,8
Games_Updated_ID_5,PC,Ring Of Pain,Great,8
Games_Updated_ID_6,PC,Pikmin 3 Deluxe,Great,8
Games_Updated_ID_7,PC,Ghostrunner,Good,7
Games_Updated_ID_8,PC,Disc Room  – Getting Buzzed,Great,8
Games_Updated_ID_9,PC,NHL 21,Superb,9
Games_Updated_ID_10,PC,Noita,Good,7
Games_Updated_ID_11,PC,Amnesia: Rebirth,Great,8
Games_Updated_ID_12,PC,Genshin Impact  – Direct Hit,Good,7
Games_Updated_ID_13,PC,Ikenfell,Fair,6
Games_Updated_ID_14,PC,Ring Fit Adventure : One Year Later,Superb,9
Games_Updated_ID_15,PC,Star Wars: Squadrons  – Catch Me If You Can,Good,7
Games_Updated_ID_16,PC,Mario Kart Live: Home Circuit  – Making Tracks,Good,7
Games_Updated_ID_17,PC,I Am Dead  – Staying Alive,Good,7
Games_Updated_ID_18,PC,FIFA 21  – A Goal Bonanza,Great,8
Games_Updated_ID_19,PC,Super Mario Bros. 35  – Mario Royale,Good,7
Games_Updated_ID_20,PC,The Solitaire Conspiracy  – Jack Of All Trades,Good,7
Games_Updated_ID_21,PC,Crash Bandicoot 4  – Platformer's Delight,Great,8
Games_Updated_ID_22,PC,Kirby Fighters 2  – 2 Kirby 2 Furious,Fair,6
Games_Updated_ID_23,PC,Pendragon  – Endless Legends,Fair,6
Games_Updated_ID_24,PC,Serious Sam 4  – The Fourth Encounter,Good,7
Games_Updated_ID_25,PC,NBA 2K21  – Ball Another Day,Fair,6
Games_Updated_ID_26,PC,Crusader Kings 3  – Pass the Duchy,Great,8
Games_Updated_ID_27,PC,Spelunky 2  –  Snakes On A 2D Plane,Great,8
Games_Updated_ID_28,PC,Mafia: Definitive Edition  – An Offer You Could Probably Refuse,Fair,6
Games_Updated_ID_29,PC,Surgeon Simulator 2  – Surgical Imprecision,Fair,6
Games_Updated_ID_30,PC,"Hades  – The Long, Hard Road Out of Hell",Superb,9
Games_Updated_ID_31,PC,"13 Sentinels: Aegis Rim  – Wow, Cool Robot!",Superb,9
Games_Updated_ID_32,PC,Super Mario 3D All-Stars  – Shoot For The Stars,Great,8
Games_Updated_ID_33,PC,Road To Guangdong  – Are We There Yet?,Terrible,2
Games_Updated_ID_34,PC,Vampire: The Masquerade - Shadows Of New York,Fair,6
Games_Updated_ID_35,PC,"Othercide  – Mother, May I",Great,8
Games_Updated_ID_36,PC,Marvel's Avengers  – Infinity War,Good,7
Games_Updated_ID_37,PC,Tell Me Why,Good,7
Games_Updated_ID_38,PC,Moon  – The Bright Side,Great,8
Games_Updated_ID_39,PC,Star Renegades  – The Heat Of The Moment,Great,8
