Console,Game_Name,Review,Score
PC,Baldur's Gate 3 Early Access,Early Access,6
PC,Control: Ultimate Edition Cloud Version,Good,7
PC,Doom Eternal: The Ancient Gods Part 1,Good,7
PC,Watch Dogs: Legion,Great,8
PC,Ring Of Pain,Great,8
PC,Pikmin 3 Deluxe,Great,8
PC,Ghostrunner,Good,7
PC,Disc Room  – Getting Buzzed,Great,8
PC,NHL 21,Superb,9
PC,Noita,Good,7
PC,Amnesia: Rebirth,Great,8
PC,Genshin Impact  – Direct Hit,Good,7
PC,Ikenfell,Fair,6
PC,Ring Fit Adventure : One Year Later,Superb,9
PC,Star Wars: Squadrons  – Catch Me If You Can,Good,7
PC,Mario Kart Live: Home Circuit  – Making Tracks,Good,7
PC,I Am Dead  – Staying Alive,Good,7
PC,FIFA 21  – A Goal Bonanza,Great,8
PC,Super Mario Bros. 35  – Mario Royale,Good,7
PC,The Solitaire Conspiracy  – Jack Of All Trades,Good,7
PC,Crash Bandicoot 4  – Platformer's Delight,Great,8
PC,Kirby Fighters 2  – 2 Kirby 2 Furious,Fair,6
PC,Pendragon  – Endless Legends,Fair,6
PC,Serious Sam 4  – The Fourth Encounter,Good,7
PC,NBA 2K21  – Ball Another Day,Fair,6
PC,Crusader Kings 3  – Pass the Duchy,Great,8
PC,Spelunky 2  –  Snakes On A 2D Plane,Great,8
PC,Mafia: Definitive Edition  – An Offer You Could Probably Refuse,Fair,6
PC,Surgeon Simulator 2  – Surgical Imprecision,Fair,6
PC,"Hades  – The Long, Hard Road Out of Hell",Superb,9
PC,"13 Sentinels: Aegis Rim  – Wow, Cool Robot!",Superb,9
PC,Super Mario 3D All-Stars  – Shoot For The Stars,Great,8
PC,Road To Guangdong  – Are We There Yet?,Terrible,2
PC,Vampire: The Masquerade - Shadows Of New York,Fair,6
PC,"Othercide  – Mother, May I",Great,8
PC,Marvel's Avengers  – Infinity War,Good,7
PC,Tell Me Why,Good,7
PC,Moon  – The Bright Side,Great,8
PC,Star Renegades  – The Heat Of The Moment,Great,8
PC,The Last Campfire  – One Step At A Time,Great,8
PC,Tony Hawk's Pro Skater 1 + 2  – I'm A Superman,Superb,9
PC,Paradise Killer,Superb,9
PC,Evergate  – Ever Great,Great,8
PC,Madden 21  – Feels More Like An Update,Fair,6
PC,A Short Hike,Superb,9
PC,Project Cars 3  – Into The Horizon,Good,7
PC,Control AWE DLC  – Haunted Oldest House,Fair,6
PC,Windbound  – Against The Wind,Mediocre,5
PC,Thousand Threads  -- Post Secrets,Mediocre,5
PC,Spiritfarer  – Purrrgatory,Superb,9
PC,No Straight Roads  – Bangers And Smash,Good,7
PC,Microsoft Flight Simulator  – Max Altitude,Superb,9
PC,Next Stop Nowhere  – Bugs On The Windshield,Bad,3
PC,PGA Tour 2K21  – For Purists And Newcomers Alike,Great,8
PC,Dead By Daylight  (2020) – Toying With Terror,Superb,9
PC,Mortal Shell  – Stone Souls,Great,8
PC,Skater XL  – Too Little To Skate,Mediocre,5
PC,Battletoads  – Middle-Aged Cartoon Alien Toads,Fair,6
PC,Hyper Scape  – 'Scape From The City,Fair,6
PC,A Total War Saga: Troy  - My Kingdom For A Centaur,Good,7
PC,Risk Of Rain 2,Great,8
PC,Fall Guys: Ultimate Knockout  - Major Chaos,Good,7
PC,Skully,Mediocre,5
PC,Umurangi Generation  - Cyberpunk Snap,Superb,9
PC,Littlewood  - Big Heart,Great,8
PC,Horizon Zero Dawn,Superb,9
PC,Grounded Early Access  - Little Acorns,Early Access,6
PC,Desperados 3  - Revolvers And Redos,Superb,9
PC,Rock Of Ages 3: Make & Break  - Let's Roll,Good,7
PC,Beyond A Steel Sky  - Foster The Future,Mediocre,5
PC,Panzer Paladin,Great,8
PC,Maid Of Sker  - Backtracking Trip,Poor,4
PC,"Destroy All Humans  - Two Arms, Two Legs, And An Attitude",Fair,6
PC,Carrion,Good,7
PC,Necrobarista,Good,7
PC,Ooblets Early Access,Early Access,7
PC,Fight Crab  - Battle Of The Bisque,Fair,6
PC,Rocket Arena,Fair,6
PC,Superliminal  - We Need To Go Deeper,Great,8
PC,Paper Mario: The Origami King,Great,8
PC,Bloodstained: Curse Of The Moon 2,Great,8
PC,Ghost Of Tsushima  - You Khan Do It,Good,7
PC,Story Of Seasons: Friends Of Mineral Town  - When The Seasons Change,Mediocre,5
PC,Superhot: Mind Control Delete  - Hack 'N Slash,Good,7
PC,Death Stranding,Superb,9
PC,CrossCode  - A Lot Of Ambition,Fair,6
PC,Deadly Premonition 2: A Blessing In Disguise,Mediocre,5
PC,Marvel's Iron Man VR  - Hot Hands,Fair,6
PC,Ninjala  - Gum Up The Works,Fair,6
PC,Mr. Driller Drill Land,Great,8
PC,West Of Dead  - Rogue-lite Cowboy,Mediocre,5
PC,Pokemon Sword And Shield Isle Of Armor DLC,Great,8
PC,Slay The Spire  - Trend Setter,Superb,9
PC,Death Come True  - Hotel Hell,Fair,6
PC,Crucible,Mediocre,5
PC,The Last Of Us Part 2 Spoiler  - Dog Eat Dog,Great,8
PC,The Last Of Us Part 2 Spoiler-Free,Great,8
PC,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated  - Expired Nostalgia,Terrible,2
PC,Valorant  - A Valiant Effort,Good,7
PC,Skelattack  - Bone-Dry,Mediocre,5
PC,Project Warlock  - Wizard's First Doom,Fair,6
PC,Disintegration  - First-Person Strategy,Good,7
PC,XCOM 2 Collection For Nintendo Switch  - Close Encounters of the Bugged Kind,Fair,6
PC,The Outer Worlds For Nintendo Switch  - Cosmic Haze,Fair,6
PC,Liberated,Poor,4
PC,Resolutiion  - Do The Right Thing,Fair,6
PC,Those Who Remain  - Little Staying Power,Bad,3
PC,Sea Of Thieves  (2020) - A Voyage Finally Worth Taking,Great,8
PC,Xenoblade Chronicles: Definitive Edition,Superb,9
PC,"Minecraft Dungeons  - Mobsters, Inc.",Good,7
PC,"Maneater  - Fish Are Food, Not Friends",Good,7
PC,Mortal Kombat 11: Aftermath  - Friendship Never Ends,Good,7
PC,If Found  - Call Me By My Name,Superb,9
PC,What The Golf Switch  - A Swing And A Hit,Superb,9
PC,What The Golf,Great,8
PC,The Wonderful 101 Remastered  - Mob Mentality,Poor,4
PC,The Wonderful 101,Great,8
PC,Hatsune Miku: Project DIVA MegaMix  - One More Time,Great,8
PC,Rainbow Six Siege  (2020) - Breaches And Cream,Essential,1
PC,Legends Of Runeterra  - Much Ado About Nautilus,Superb,9
PC,Predator: Hunting Grounds  - Muddied Up,Poor,4
PC,Sakura Wars,Good,7
PC,XCOM: Chimera Squad,Great,8
PC,Cloudpunk  - Time To Fly,Good,7
PC,Streets Of Rage 4  - The Beat-'Em-Up Boys Are Back In Town,Great,8
PC,Rainbow Six Siege  (2015),Great,8
PC,"Gears Tactics  - Plan The Work, Work The Plan",Great,8
PC,Fallout 76: Wastelanders  - A Disappointing Return,Mediocre,5
PC,Trials Of Mana  - Trial And Error,Fair,6
PC,Treachery In Beatdown City,Great,8
PC,In Other Waters,Superb,9
PC,Bleeding Edge  - Underwatch,Fair,6
PC,Final Fantasy 7 Remake  - First Class,Essential,1
PC,Animal Crossing: New Horizons  - Island Getaway,Superb,9
PC,Persona 5 Royal  - Hearts Of Gold,Essential,1
PC,"Resident Evil 3 Remake  - Farewell, Raccoon City",Fair,6
PC,Good Job  - Office Space,Good,7
PC,Corruption 2029,Fair,6
PC,MLB The Show 20,Great,8
PC,Call Of Duty Warzone,Good,7
PC,Half-Life: Alyx  - Catch These Hands,Superb,9
PC,Doom Eternal  - Intelligent Inferno,Great,8
PC,Nioh 2,Great,8
PC,Ori And The Will Of The Wisps,Great,8
PC,Mindseize  - Familiar Territory,Fair,6
PC,Dota Underlords,Superb,9
PC,Pokemon Mystery Dungeon: Rescue Team DX,Great,8
PC,Wolcen: Lords Of Mayhem,Poor,4
PC,Bloodroots,Great,8
PC,Snack World,Poor,4
PC,Dreams,Superb,9
PC,Granblue Fantasy Versus  - Fighting Fantasy,Good,7
PC,The Pedestrian  - Walk Before You Run,Good,7
PC,Through The Darkest Of Times  - Enemy Inside The Gates,Great,8
PC,Kunai  - Throwing Knives,Good,7
PC,Kentucky Route Zero  - Where The Streets Have No Name,Superb,9
PC,Kingdom Hearts 3 Re:Mind  - Don't Remind Me,Poor,4
PC,Lenna's Inception  - Press Start,Good,7
PC,Journey To The Savage Planet  - A Pulpy Sci-Fi Romp,Good,7
PC,Frostpunk: The Last Autumn  - Calm Before The Storm,Great,8
PC,Dragon Ball Z: Kakarot  - Mondo Cool,Good,7
PC,Unity Of Command 2  - Lifetime Supply,Great,8
PC,Overland  - Road Trip From Hell,Great,8
PC,Ace Combat 7: Skies Unknown  - Head In The Clouds,Great,8
PC,The Outer Worlds  - Over The Moon,Superb,9
PC,Draugen  - Mystery Loves Company,Good,7
PC,Wattam  - Forever Wondering,Good,7
PC,Supermash  - Flop Jam,Bad,3
PC,The Touryst  - Life's A Beach,Great,8
PC,Phoenix Point  - The Life Aquatic,Great,8
PC,Darksiders: Genesis  - Lucy And The Horsemen,Good,7
PC,Shovel Knight: King Of Cards  - Royal Refinement,Great,8
PC,Life Is Strange 2: Episode 5  - Beyond Good Or Evil,Great,8
PC,Audica  - Electronic Gun Music,Fair,6
PC,Shenmue 3  - From A Forgotten Time,Mediocre,5
PC,Blacksad: Under The Skin  - Dog Days,Mediocre,5
PC,Planet Zoo  - Spreadsheet Safari,Good,7
PC,Sparklite  - Shine A Light,Fair,6
PC,Star Wars Jedi: Fallen Order  - A Good Feeling About This,Great,8
PC,Pokemon Sword & Shield  - Curry Favor,Superb,9
PC,Layton's Mystery Journey: Katrielle And The Millionaire's Conspiracy  - Merry Old England,Good,7
PC,Need For Speed Heat  - Getting Warmer,Good,7
PC,Mario & Sonic At The Olympic Games Tokyo 2020  - Gotta Go Fast,Good,7
PC,Call Of Duty: Modern Warfare  - Stay Frosty (Again),Good,7
PC,Red Dead Redemption 2  - Wild Wild West,Superb,9
PC,Call Of Duty Mobile  - Boots On The Go,Great,8
PC,Disco Elysium  - Pure Dynamite,Essential,1
PC,"Afterparty  - Drink, Die, Repeat",Good,7
PC,Luigi's Mansion 3  - Mario Is Missing,Great,8
PC,WWE 2K20 : Botchamania,Terrible,2
PC,"Super Monkey Ball Banana Blitz HD  - All Monkey, No Magic",Mediocre,5
PC,Manifold Garden  - Stairways To Puzzle Heaven,Superb,9
PC,MediEvil  - Bones 'n Brawn,Mediocre,5
PC,Felix The Reaper  - Footloose,Mediocre,5
PC,Little Town Hero  - Brat Country,Mediocre,5
PC,The Witcher 3 Nintendo Switch  - The Last Wish,Superb,9
PC,Killer Queen Black  - 'Cause I'm Having a Good Time,Great,8
PC,Ghost Recon Breakpoint  - Faulty Reconaissance,Poor,4
PC,John Wick Hex  - Tick Tock Wick,Great,8
PC,Concrete Genie  - Rubs Me The Right Way,Good,7
PC,Indivisible  - Moving Mountains,Good,7
PC,Neo Cab  - Taxi Cab Confessions,Good,7
PC,Destiny 2 Shadowkeep  - Moon's Haunted,Great,8
