vgsales_ID,Game_Name,Release_Year,Genre,Publisher,Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
vgsales_ID_1,'98 Koshien,1998,Sports,Magical Company,PS,0.15,0.1,0.12,0.03,0.41
vgsales_ID_2,.hack//G.U. Vol.1//Rebirth,2006,Role-Playing,Namco Bandai Games,PS2,0,0,0.17,0,0.17
vgsales_ID_3,.hack//G.U. Vol.2//Reminisce,2006,Role-Playing,Namco Bandai Games,PS2,0.11,0.09,0,0.03,0.23
vgsales_ID_4,.hack//G.U. Vol.2//Reminisce (jp sales),2006,Role-Playing,Namco Bandai Games,PS2,0,0,0.16,0,0.16
vgsales_ID_5,.hack//G.U. Vol.3//Redemption,2007,Role-Playing,Namco Bandai Games,PS2,0,0,0.17,0,0.17
vgsales_ID_6,.hack//Infection Part 1,2002,Role-Playing,Atari,PS2,0.49,0.38,0.26,0.13,1.27
vgsales_ID_7,.hack//Link,2010,Role-Playing,Namco Bandai Games,PSP,0,0,0.14,0,0.14
vgsales_ID_8,.hack//Mutation Part 2,2002,Role-Playing,Atari,PS2,0.23,0.18,0.2,0.06,0.68
vgsales_ID_9,.hack//Outbreak Part 3,2002,Role-Playing,Atari,PS2,0.14,0.11,0.17,0.04,0.46
vgsales_ID_10,.hack//Quarantine Part 4: The Final Chapter,2003,Role-Playing,Atari,PS2,0.09,0.07,0,0.02,0.18
vgsales_ID_11,.hack: Sekai no Mukou ni + Versus,2012,Action,Namco Bandai Games,PS3,0,0,0.03,0,0.03
vgsales_ID_12,007 Racing,2000,Racing,Electronic Arts,PS,0.3,0.2,0,0.03,0.53
vgsales_ID_13,007: Quantum of Solace,2008,Action,Activision,"X360, PS3, Wii, PS2, DS, PC",1.84,1.35,0.04,0.68,3.92
vgsales_ID_14,007: The World is not Enough,2000,Action,Electronic Arts,"N64, PS",1.64,0.73,0.02,0.09,2.47
vgsales_ID_15,007: Tomorrow Never Dies,1999,Shooter,Electronic Arts,PS,1.72,1.33,0,0.16,3.21
vgsales_ID_16,1 vs. 100,2008,Misc,DSI Games,DS,0.08,0,0,0.01,0.09
vgsales_ID_17,1/2 Summer +,2013,Adventure,Kaga Create,PSP,0,0,0.01,0,0.01
vgsales_ID_18,10 Minute Solution,2010,Sports,Activision,Wii,0.06,0.01,0,0.01,0.08
vgsales_ID_19,100 All-Time Favorites,2009,Puzzle,Ubisoft,DS,0.35,0.12,0,0.04,0.51
vgsales_ID_20,100 Classic Books,2008,Misc,Nintendo,DS,0.13,0.52,0,0.02,0.67
vgsales_ID_21,100 Classic Games,2011,Misc,Rondomedia,DS,0,0.03,0,0,0.04
vgsales_ID_22,1000 Cooking Recipes from ELLE à table,2010,Misc,Nintendo,DS,0,0.02,0,0,0.03
vgsales_ID_23,1001 Touch Games,2011,Action,Avanquest,DS,0.12,0.17,0,0.04,0.33
vgsales_ID_24,101-in-1 Explosive Megamix,2008,Puzzle,Nordcurrent,DS,0.05,0.13,0,0.02,0.2
